time,trade_id,ticker,time_to_strike,count,shift,kalshi_fair,forecast,yes_price,no_price,taker_side,kalshi_strike_delta,forecast_strike_delta,kalshi_forecast_delta,strike_m_5.0,strike_m_3.0,strike_m_1.0,strike_p_1.0,strike_p_3.0,strike_p_5.0,entropy,impact,result,outcome
2024-10-12 10:49:25.774941,96635639-c257-46a7-beab-83614e1970c7,HIGHNY-24OCT13-B69.5,133774.225,1,1.0,69.5,69.55,15,85,1,0.0,0.05,0.05,0.0,0.0,0.0,15.0,0.0,0.0,-40.621,84.0,85,1
2024-10-12 11:01:08.586101,21aa0646-340f-47a1-9e1f-b2d44cca8a2e,HIGHNY-24OCT13-T72,133071.414,19,5.0,72.65,69.55,50,50,1,-0.85,-3.95,-3.1,0.0,0.0,0.0,13.5,0.0,50.0,-230.737,-48.0,-50,0
2024-10-12 11:12:50.141386,ee28ebaf-72b8-442e-8a69-3c0dba7718ee,HIGHNY-24OCT13-T72,132369.859,28,5.0,72.447,69.55,34,66,1,-1.053,-3.95,-2.897,0.0,0.0,0.0,12.15,0.0,34.0,-150.239,-31.2,-34,0
2024-10-12 11:40:52.745762,1d6859d8-8afb-426c-bb80-4f62c95cc15c,HIGHNY-24OCT13-T72,130687.254,65,5.0,73.019,69.55,80,20,0,-0.481,-3.95,-3.469,0.0,0.0,0.0,10.935,0.0,80.0,-376.718,77.243,80,0
2024-10-12 11:41:48.886395,37b384fe-c04d-4560-887b-95007b6e6e6a,HIGHNY-24OCT13-T72,130631.114,15,5.0,73.062,69.55,80,20,0,-0.438,-3.95,-3.512,0.0,0.0,0.0,9.842,0.0,80.0,-373.066,77.363,80,0
2024-10-12 11:41:48.901326,9b4589d3-9b18-468b-81b5-a7d8094e3097,HIGHNY-24OCT13-T72,130631.099,8,5.0,73.092,69.55,78,22,0,-0.408,-3.95,-3.542,0.0,0.0,0.0,8.857,0.0,78.0,-359.143,75.705,78,0
2024-10-12 11:42:44.742656,8e1d6d16-38e1-444e-9942-121aa4bfae63,HIGHNY-24OCT13-T72,130575.257,27,5.0,73.133,69.55,79,21,0,-0.367,-3.95,-3.583,0.0,0.0,0.0,7.972,0.0,79.0,-361.735,76.803,79,0
2024-10-12 11:43:39.990493,0d0cea80-9e3e-4560-9858-eb9dc5f34af7,HIGHNY-24OCT13-T72,130520.01,16,5.0,73.167,69.55,79,21,0,-0.333,-3.95,-3.617,0.0,0.0,0.0,7.174,0.0,79.0,-359.324,76.866,79,0
2024-10-12 11:44:35.782238,03e89980-8b35-4c45-b2e6-b8f3fe8449df,HIGHNY-24OCT13-T72,130464.218,9,5.0,73.194,69.55,78,22,0,-0.306,-3.95,-3.644,0.0,0.0,0.0,6.457,0.0,78.0,-351.867,75.866,78,0
2024-10-12 11:45:31.623859,63490df9-c2f1-48fc-9129-66e03bb8abac,HIGHNY-24OCT13-T72,130408.376,6,5.0,73.223,69.55,78,22,0,-0.277,-3.95,-3.673,0.0,0.0,0.0,5.811,0.0,78.0,-350.05,75.865,78,0
2024-10-12 11:46:27.371057,f26033e9-3106-47aa-adfe-76a1c34bf0fe,HIGHNY-24OCT13-T72,130352.629,3,5.0,73.249,69.55,78,22,0,-0.251,-3.95,-3.699,0.0,0.0,0.0,5.23,0.0,78.0,-348.476,76.209,78,0
2024-10-12 11:47:22.636830,8481eb56-f886-467f-a1af-dad95359acd8,HIGHNY-24OCT13-T72,130297.363,2,5.0,73.272,69.55,78,22,0,-0.228,-3.95,-3.722,0.0,0.0,0.0,4.707,0.0,78.0,-347.115,76.247,78,0
2024-10-12 11:48:18.028716,dec8a753-ed63-4012-b991-1facf7c9506b,HIGHNY-24OCT13-T72,130241.971,1,5.0,73.294,69.55,78,22,0,-0.206,-3.95,-3.744,0.0,0.0,0.0,4.236,0.0,78.0,-345.94,76.228,78,0
2024-10-12 11:53:02.183989,478becca-edc2-477a-a634-7f35c2fe428b,HIGHNY-24OCT13-T72,129957.816,1,5.0,73.324,69.55,83,17,0,-0.176,-3.95,-3.774,0.0,0.0,0.0,3.813,0.0,83.0,-371.867,81.192,83,0
2024-10-12 11:53:57.881977,802c9321-aac6-411e-9925-d8dd6ce84444,HIGHNY-24OCT13-T72,129902.118,1,5.0,73.341,69.55,83,17,0,-0.159,-3.95,-3.791,0.0,0.0,0.0,3.432,0.0,83.0,-370.995,80.395,83,0
2024-10-12 12:59:34.997017,52cec8f6-c4ae-4441-aaf6-a23e8e1f9fc4,HIGHNY-24OCT13-T72,125965.003,1,5.0,73.358,69.55,84,16,0,-0.142,-3.95,-3.808,0.0,0.0,0.0,3.088,0.0,84.0,-375.671,81.076,84,0
2024-10-12 17:56:27.790996,a462b8ec-03a3-4b13-9313-0e4a6ea621dd,HIGHNY-24OCT13-T72,108152.209,12,5.0,73.361,69.55,77,23,0,-0.139,-3.95,-3.811,0.0,0.0,0.0,2.78,0.0,77.0,-337.314,70.754,77,0
